posting_id,company_name,company_sector,company_type,role_title,location,minimum_qualification,required_skills,positions_available,duration_months,stipend_amount,one_time_grant,work_mode,application_deadline,job_description,eligibility_criteria
1,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Pipeline Engineer Intern,Surat,Graduate,"['Pipeline', 'Civil Engineering', 'Design']",11,12,5000,6000,On-site,31-12-2025,Internship opportunity in Pipeline Engineer Intern at RELIANCE INDUSTRIES LIMITED located in Surat. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Pipeline, Civil Engineering preferred."
2,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Pipeline Engineer Intern,Aurangabad,Graduate,"['Pipeline', 'Civil Engineering', 'Design']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Pipeline Engineer Intern at RELIANCE INDUSTRIES LIMITED located in Aurangabad. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Pipeline, Civil Engineering preferred."
3,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Project Management Intern,Jabalpur,Graduate,"['Project Management', 'Planning', 'Coordination']",12,12,5000,6000,On-site,31-12-2025,Internship opportunity in Project Management Intern at RELIANCE INDUSTRIES LIMITED located in Jabalpur. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Project Management, Planning preferred."
4,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Project Management Intern,Amritsar,Graduate,"['Project Management', 'Planning', 'Coordination']",8,12,5000,6000,On-site,31-12-2025,Internship opportunity in Project Management Intern at RELIANCE INDUSTRIES LIMITED located in Amritsar. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Project Management, Planning preferred."
5,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Maintenance Intern,Srinagar,ITI,"['Mechanical', 'Electrical', 'Maintenance']",12,12,5000,6000,On-site,31-12-2025,Internship opportunity in Maintenance Intern at RELIANCE INDUSTRIES LIMITED located in Srinagar. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum ITI qualification required. Skills in Mechanical, Electrical preferred."
6,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Maintenance Intern,Bhopal,ITI,"['Mechanical', 'Electrical', 'Maintenance']",9,12,5000,6000,On-site,31-12-2025,Internship opportunity in Maintenance Intern at RELIANCE INDUSTRIES LIMITED located in Bhopal. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum ITI qualification required. Skills in Mechanical, Electrical preferred."
7,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Maintenance Intern,Vasai-Virar,ITI,"['Mechanical', 'Electrical', 'Maintenance']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Maintenance Intern at RELIANCE INDUSTRIES LIMITED located in Vasai-Virar. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum ITI qualification required. Skills in Mechanical, Electrical preferred."
8,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Process Engineer Intern,Nagpur,Graduate,"['Process Engineering', 'Chemical Engineering', 'Safety']",8,12,5000,6000,On-site,31-12-2025,Internship opportunity in Process Engineer Intern at RELIANCE INDUSTRIES LIMITED located in Nagpur. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Process Engineering, Chemical Engineering preferred."
9,RELIANCE INDUSTRIES LIMITED,Oil Gas & Energy,Private,Process Engineer Intern,Ludhiana,Graduate,"['Process Engineering', 'Chemical Engineering', 'Safety']",4,12,5000,6000,On-site,31-12-2025,Internship opportunity in Process Engineer Intern at RELIANCE INDUSTRIES LIMITED located in Ludhiana. Gain hands-on experience in Oil Gas & Energy sector.,"Minimum Graduate qualification required. Skills in Process Engineering, Chemical Engineering preferred."
10,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,System Administrator Intern,Allahabad,Diploma,"['Networking', 'Linux', 'Windows']",11,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in System Administrator Intern at TATA CONSULTANCY SERVICES LIMITED located in Allahabad. Gain hands-on experience in IT & Software Development sector.,"Minimum Diploma qualification required. Skills in Networking, Linux preferred."
11,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,System Administrator Intern,Howrah,Diploma,"['Networking', 'Linux', 'Windows']",4,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in System Administrator Intern at TATA CONSULTANCY SERVICES LIMITED located in Howrah. Gain hands-on experience in IT & Software Development sector.,"Minimum Diploma qualification required. Skills in Networking, Linux preferred."
12,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,DevOps Intern,Dhanbad,Graduate,"['Docker', 'Kubernetes', 'AWS']",5,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in DevOps Intern at TATA CONSULTANCY SERVICES LIMITED located in Dhanbad. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Docker, Kubernetes preferred."
13,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,DevOps Intern,Varanasi,Graduate,"['Docker', 'Kubernetes', 'AWS']",10,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in DevOps Intern at TATA CONSULTANCY SERVICES LIMITED located in Varanasi. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Docker, Kubernetes preferred."
14,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,Mobile App Developer Intern,Srinagar,Graduate,"['Android', 'iOS', 'React Native']",5,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Mobile App Developer Intern at TATA CONSULTANCY SERVICES LIMITED located in Srinagar. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Android, iOS preferred."
15,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,Mobile App Developer Intern,Jaipur,Graduate,"['Android', 'iOS', 'React Native']",13,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Mobile App Developer Intern at TATA CONSULTANCY SERVICES LIMITED located in Jaipur. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Android, iOS preferred."
16,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,Mobile App Developer Intern,Nagpur,Graduate,"['Android', 'iOS', 'React Native']",12,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in Mobile App Developer Intern at TATA CONSULTANCY SERVICES LIMITED located in Nagpur. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Android, iOS preferred."
17,TATA CONSULTANCY SERVICES LIMITED,IT & Software Development,Private,AI/ML Intern,Ahmedabad,Graduate,"['Machine Learning', 'Python', 'TensorFlow']",9,12,5000,6000,Hybrid,31-12-2025,Internship opportunity in AI/ML Intern at TATA CONSULTANCY SERVICES LIMITED located in Ahmedabad. Gain hands-on experience in IT & Software Development sector.,"Minimum Graduate qualification required. Skills in Machine Learning, Python preferred."
